teamAbbr,teamEFG%,teamTO%,teamOREB%,teamFTA,teamFGA,opptEFG%,opptTO%,opptOREB%,opptFTA,opptFGA,teamRslt
TOR,0.56,11.9,19.6,28,84,0.539,17.9,34.9,14,90,Win
CHO,0.48,6.1,29.6,19,99,0.558,15.5,46.3,27,86,Loss
PHI,0.518,10.5,17.4,45,82,0.546,13.4,22.7,37,87,Loss
GSW,0.506,15.1,7.5,30,77,0.563,18.4,34.1,22,88,Loss
UTA,0.571,15.8,12.5,17,78,0.524,8.7,21.1,21,85,Loss
SAC,0.619,9.4,28.2,18,88,0.451,12.7,23.4,25,92,Win
TOR,0.571,13.5,17.9,11,85,0.424,13.8,27.1,34,79,Win
CHI,0.558,11.8,25.6,26,86,0.719,18,15.6,25,80,Loss
DAL,0.556,14.3,31.8,27,90,0.566,5.3,15.6,20,98,Loss
MEM,0.5,9.3,21.2,26,96,0.616,15.1,41,26,95,Loss
DEN,0.59,10.3,15.2,9,100,0.516,10.9,14,26,95,Win
OKC,0.469,10.1,34.1,22,97,0.533,17.6,29.7,29,76,Win
POR,0.572,4.5,12.2,21,97,0.526,14.2,35.8,28,96,Win
MIN,0.446,14.5,13.6,37,84,0.52,10.9,24,18,98,Loss
NYK,0.457,11.5,31.8,23,82,0.474,11.4,8.5,21,76,Win
MIA,0.526,12.8,23.8,26,77,0.452,9,15.6,17,83,Win
GSW,0.633,10.1,23.3,19,90,0.516,12.9,27.7,14,95,Win
BRK,0.5,12.7,26.7,21,94,0.485,7.5,30.5,26,100,Loss
PHI,0.411,12.5,28.3,31,84,0.525,9.3,20.9,41,80,Loss
ATL,0.462,9.9,18.9,21,91,0.574,8.2,20,16,94,Loss
CHO,0.482,16.1,14,12,83,0.575,9.4,18.4,21,87,Loss
LAL,0.622,12.5,26.2,27,86,0.505,13.5,27.1,26,91,Win
UTA,0.521,8.4,22.9,9,94,0.592,10.7,35,18,92,Loss
DEN,0.552,7.8,30.4,22,96,0.585,9.5,25,24,94,Loss
NOP,0.5,17,33.3,20,94,0.467,5.8,19,22,105,Loss
PHO,0.423,8.1,25.4,23,104,0.572,12.8,32,27,97,Loss
CHI,0.472,13.6,33.3,26,90,0.655,13.7,33.3,23,84,Loss
ORL,0.638,9.3,20.5,17,80,0.511,11.2,34.1,14,89,Win
NYK,0.608,9.7,29.3,21,102,0.663,12.3,12.8,18,92,Win
DAL,0.523,11.1,27.3,23,86,0.495,3.8,17,11,96,Win
GSW,0.58,12.2,26.7,31,87,0.56,10.3,5.9,29,83,Win
BOS,0.6,13.3,29.7,17,90,0.571,15.4,15.4,21,84,Win
PHO,0.467,14,29.2,18,90,0.567,14.8,25.6,21,89,Loss
PHI,0.512,13,32.6,25,83,0.659,3,16.7,30,85,Loss
DET,0.388,12.1,28.6,9,98,0.478,10.4,16.7,12,90,Loss
MIN,0.512,14.1,34.1,28,85,0.6,15.3,18.4,31,75,Loss
SAS,0.484,5.6,11.5,16,95,0.53,11.3,11.1,24,84,Loss
MIL,0.525,13.4,16.3,17,102,0.455,13.4,15.1,24,99,Win
CHO,0.548,15.4,26.1,24,83,0.546,3.6,14.6,23,97,Loss
POR,0.445,8.2,19.1,22,91,0.606,11.4,30.8,25,90,Loss
SAS,0.511,5.8,13.2,15,91,0.659,12.7,36.4,25,85,Loss
PHO,0.623,15.2,20,15,77,0.547,5.6,31.8,16,95,Loss
ORL,0.513,16.2,20.5,30,75,0.61,11.4,16.7,16,86,Loss
GSW,0.391,6.3,12.1,18,96,0.58,10.9,34.1,15,100,Loss
IND,0.64,16.8,21.1,16,82,0.57,9.4,17.1,24,86,Loss
ATL,0.604,16.6,20.6,30,82,0.544,13.4,14,28,91,Win
CLE,0.545,16.8,20.5,11,89,0.525,11.3,12.2,30,81,Loss
MEM,0.596,9.3,25,20,89,0.452,7.9,22.2,24,94,Win
DEN,0.472,10.1,25,18,90,0.5,13.2,15.2,14,86,Win
MIA,0.516,7.3,18.9,21,93,0.64,10.2,18.2,19,89,Loss
ORL,0.513,18.5,19.4,30,75,0.5,11.5,23.8,19,92,Loss
NOP,0.655,18,23.7,19,87,0.565,12.7,23.4,23,93,Win
PHI,0.47,9.5,17.7,14,99,0.532,12.1,18.8,18,94,Loss
SAS,0.5,3.7,16.3,28,92,0.63,11,22.5,12,92,Loss
HOU,0.618,14.7,15.8,18,85,0.544,13.3,16.2,16,91,Win
MEM,0.435,11.6,18.4,31,93,0.611,17.2,24.4,15,90,Loss
DAL,0.549,11.5,32.6,21,91,0.606,12,19,13,90,Loss
ATL,0.483,12.6,25,26,86,0.523,11.7,24.4,27,86,Loss
TOR,0.574,14.4,18.2,17,88,0.512,17.3,26.2,22,86,Win
DET,0.489,8.5,29.8,19,89,0.546,11,28.1,30,76,Loss
HOU,0.406,13.5,16.3,26,85,0.656,20.6,32.3,27,77,Loss
MIA,0.519,18.5,18.9,25,77,0.604,13.8,14.6,12,82,Loss
POR,0.541,8,18.9,14,97,0.549,12.9,28.3,24,91,Loss
MIL,0.532,13.8,21.7,16,93,0.429,8,16.1,14,98,Win
DAL,0.603,9.8,28.9,11,87,0.5,9.5,25.5,18,87,Win
NYK,0.494,14,39,17,85,0.587,17.4,8.8,16,69,Win
NOP,0.542,12.4,31.4,25,95,0.584,12.9,5.1,27,83,Win
BRK,0.533,8.1,27.1,24,92,0.547,6.3,28.3,21,95,Loss
LAC,0.529,13.2,17.8,29,86,0.684,10.4,20.5,18,95,Loss
LAL,0.61,19.8,32.4,34,82,0.59,15.4,18.6,23,89,Win
DEN,0.616,13.3,21.1,21,82,0.489,11.8,25.6,23,87,Win
SAS,0.549,13.6,20.5,18,81,0.634,9.5,19.5,20,86,Loss
BOS,0.548,8.6,30.4,27,84,0.517,9.2,23.5,29,86,Win
NYK,0.532,12.3,27.8,25,110,0.519,10.3,21.2,31,108,Loss
CHI,0.557,15.9,32.6,17,88,0.565,14,34.9,32,84,Loss
MEM,0.446,10.3,24.1,25,102,0.385,5.8,15.5,29,100,Win
UTA,0.576,13.8,25.6,18,86,0.542,5.6,15.6,14,95,Win
LAC,0.634,9.8,25.6,20,93,0.405,13.3,27.6,22,95,Win
MIA,0.5,11.1,25.5,14,98,0.582,12.9,12.2,22,85,Loss
CHO,0.426,9.6,28.3,14,88,0.396,19.3,37.3,13,82,Win
BRK,0.471,9,29.2,32,87,0.527,5.8,13.3,11,92,Win
ATL,0.625,11.2,11.4,17,88,0.621,8.7,34.1,22,95,Loss
MIN,0.558,18.5,23.8,35,86,0.669,15.4,24.3,23,89,Loss
SAC,0.485,10.7,17.5,18,101,0.542,10.9,17,23,96,Loss
UTA,0.686,19.4,31.3,21,78,0.56,6.8,10.3,31,83,Win
SAS,0.576,9.4,24.3,25,85,0.675,10,25,23,80,Loss
MIA,0.563,10.3,17.1,21,87,0.461,14,13.6,34,77,Win
PHO,0.493,12.7,6.5,31,76,0.593,13.6,38.1,25,91,Loss
LAC,0.522,8.6,11.4,13,90,0.505,5.4,22.9,21,95,Loss
CHI,0.565,16.9,22.2,14,92,0.601,14.6,20.9,24,89,Loss
POR,0.511,11.7,25,28,93,0.609,10.9,33.3,32,92,Loss
SAS,0.53,10.3,19.4,27,84,0.524,12.1,13.3,21,85,Win
BOS,0.5,15.8,20,25,85,0.513,12.8,11.6,42,77,Loss
ATL,0.506,15.2,19.1,25,84,0.564,13.9,37,25,94,Loss
DET,0.533,16.9,19.6,15,92,0.521,10.4,19.1,18,96,Loss
TOR,0.45,12,12.2,13,90,0.46,10.8,25,25,88,Loss
MIL,0.478,14.3,23.4,25,91,0.576,12.7,19.5,24,86,Loss
WAS,0.536,11.7,13.6,33,84,0.426,16.6,29.2,29,88,Win
POR,0.438,9.3,27.6,24,97,0.505,10.3,30,22,95,Loss
CHO,0.543,11.3,26.1,23,92,0.455,9.1,25.9,20,101,Win
SAC,0.475,4.4,18.5,22,99,0.665,10.5,9.1,21,85,Loss
GSW,0.578,20.5,11.1,19,77,0.538,12.5,19,15,91,Loss
MIA,0.506,10.4,12.2,16,88,0.565,12.8,24.4,23,85,Loss
LAL,0.57,10.3,20.4,27,93,0.563,9.3,7.1,22,88,Win
LAC,0.468,10.6,24.1,37,110,0.524,10.4,14.6,40,103,Loss
OKC,0.571,6.4,11.6,22,92,0.57,14.8,18.6,27,86,Win
MIL,0.559,6.3,17,27,93,0.56,18.9,17.5,16,83,Win
MIA,0.464,11.6,30,38,98,0.576,13.7,14.3,35,85,Loss
CHO,0.527,16.4,25.7,29,74,0.466,12,25.5,19,87,Win
BRK,0.402,12.3,28.8,28,102,0.465,11.4,24.4,35,86,Loss
MEM,0.576,16.1,31.4,32,85,0.62,9.2,7,36,83,Loss
HOU,0.676,13.7,22.9,22,85,0.534,18.2,31.7,12,89,Win
DAL,0.601,13.6,20,26,84,0.438,5.9,27.6,19,104,Win
CLE,0.599,18.6,25,25,81,0.429,8.7,31.5,23,106,Win
IND,0.455,9.7,25.5,33,88,0.5,14,11.6,25,81,Win
PHO,0.446,14.3,19.6,23,92,0.613,19.7,22.6,22,80,Loss
BOS,0.516,8.2,31.4,37,95,0.489,7.1,16,35,89,Win
DEN,0.519,17.9,21.1,23,77,0.511,10.8,31.1,27,87,Loss
SAS,0.495,5.5,14.6,26,91,0.5,15.4,12.8,26,82,Win
MEM,0.484,13.2,30.2,31,92,0.529,11.9,26.1,40,86,Loss
NOP,0.643,14.7,21.4,33,84,0.511,11.8,26,25,94,Win
SAC,0.517,11.5,24.4,26,89,0.448,16,26,29,87,Win
BRK,0.58,9.5,20,19,87,0.42,11,16.7,21,88,Win
DAL,0.528,14.1,20,19,89,0.48,8.4,25.5,26,98,Loss
PHO,0.5,16,38.6,31,86,0.518,21.3,26.8,21,83,Win
CLE,0.563,21.3,30.6,22,79,0.69,14.6,12.1,20,79,Loss
PHI,0.419,8.6,18.3,18,99,0.604,14.9,20,13,91,Loss
HOU,0.598,9.2,13,14,92,0.506,11.4,14.3,24,90,Win
BOS,0.536,15,18.6,30,83,0.517,11.3,23.4,37,86,Loss
MIN,0.522,12.7,21.4,29,90,0.65,11.8,14.7,17,90,Loss
IND,0.368,14.2,20.3,17,95,0.603,14.5,27,18,92,Loss
WAS,0.589,21.3,20.6,36,73,0.667,21.8,27,28,81,Loss
SAS,0.422,7.5,22.6,19,103,0.632,11,17.1,24,87,Loss
NOP,0.556,11.1,27.5,13,98,0.495,11.6,22.4,15,92,Win
DET,0.494,10.4,25.6,20,86,0.565,9.8,21.4,19,84,Loss
MIA,0.542,10.3,18.4,20,96,0.515,9.7,24.5,34,97,Loss
ATL,0.454,10.7,26.4,27,97,0.58,9.8,23.1,30,88,Loss
MIL,0.669,17.7,10.3,27,86,0.556,13.1,12.8,33,98,Win
ORL,0.567,9.4,16.3,17,89,0.563,10.8,27.7,8,96,Win
NYK,0.5,14,32.7,30,91,0.593,11.5,11.6,31,86,Loss
MIN,0.521,9.1,14.9,34,95,0.584,9.6,28.6,28,101,Loss
PHO,0.632,11.8,30.6,24,87,0.544,17.9,15.6,43,68,Win
MEM,0.455,11.6,22,22,89,0.585,10.6,24.4,17,94,Loss
CHO,0.387,9.8,21,18,93,0.628,13.2,21.2,13,86,Loss
MIL,0.464,11.5,19,36,84,0.451,13.8,16.7,21,91,Win
OKC,0.645,10.7,21.2,35,76,0.598,9.8,30.2,9,97,Win
DET,0.5,15.1,27.3,21,81,0.638,17.4,30,22,76,Loss
NOP,0.5,16.8,14,30,86,0.505,12.6,26.4,21,102,Loss
BOS,0.583,12.7,19.5,14,90,0.524,15.2,17.8,23,85,Win
SAC,0.612,9.9,6.5,34,76,0.468,15.2,11.6,24,79,Win
NYK,0.529,14,32.5,17,85,0.53,13,25.6,25,83,Loss
PHI,0.478,7.8,17,14,89,0.596,17.4,28.1,17,78,Loss
BRK,0.471,15,33.3,35,87,0.505,9.6,18,16,96,Loss
ORL,0.56,6.7,28.3,25,100,0.516,7.9,18.8,25,94,Win
MIN,0.61,13.6,12.5,25,91,0.596,17.8,22.2,43,78,Win
MEM,0.458,10.7,38.6,21,108,0.683,15.3,25,15,93,Loss
DAL,0.517,13.1,10.6,30,86,0.484,13,25.5,19,92,Win
LAC,0.524,14.2,24.4,15,84,0.443,14.4,28.6,18,87,Win
BOS,0.601,8.1,24.3,16,84,0.517,8.6,27.1,15,89,Win
NYK,0.554,7.9,21.4,24,83,0.577,5.8,26.8,13,91,Loss
POR,0.511,12.8,22.2,14,89,0.489,9.9,27.1,23,90,Loss
SAC,0.516,13.4,30.8,14,91,0.542,8.5,23.3,29,84,Loss
LAL,0.557,13.8,20,27,88,0.481,23.6,12.2,10,80,Win
MIN,0.574,12.4,12,24,95,0.602,12.2,27,22,98,Loss
BRK,0.554,9.8,15.9,21,92,0.613,6.8,32.6,30,97,Loss
CHO,0.519,16,26.2,25,78,0.4,4.4,23,29,95,Win
SAC,0.478,8.2,16,21,91,0.473,10.7,20.4,20,91,Win
DAL,0.601,10.6,10.5,19,84,0.627,8.7,16.2,36,79,Loss
OKC,0.396,12.3,8.8,20,91,0.605,13.8,31.1,14,100,Loss
CLE,0.511,12.3,21.3,12,95,0.597,14.5,33.3,15,88,Loss
DET,0.561,9.3,23.3,16,90,0.66,17.9,19.2,17,75,Win
WAS,0.531,9.3,25,21,98,0.601,12.8,34.9,30,89,Loss
DEN,0.5,12.5,27.1,16,91,0.64,9.3,29.7,20,89,Loss
CHI,0.556,7.5,28.3,23,89,0.6,13.9,45.9,33,85,Loss
POR,0.543,14.1,29.5,21,94,0.655,16.1,14.7,22,84,Loss
BRK,0.558,9.4,18.6,23,86,0.527,5.6,21.7,24,91,Loss
IND,0.586,12.2,21.1,14,87,0.512,12.2,16.7,20,85,Win
LAL,0.466,13.2,26.5,12,87,0.505,6.6,31.9,11,95,Loss
HOU,0.495,13.1,23.1,18,98,0.455,11.2,25.5,25,100,Win
ORL,0.577,16.1,27,23,84,0.607,15.7,11.4,16,84,Loss
GSW,0.523,9,28.9,32,87,0.482,16.9,18.2,23,83,Win
MIL,0.443,14.3,30,21,87,0.396,9.1,20.7,10,96,Win
PHI,0.616,8,24.4,20,95,0.678,9.6,18.2,41,76,Loss
DAL,0.527,12,12.2,19,94,0.429,11,21.9,15,99,Win
TOR,0.517,9.8,19,29,89,0.675,14.3,20,30,83,Loss
DET,0.525,13.4,17.1,24,80,0.456,8.9,32.7,26,91,Loss
LAL,0.582,11.4,14,10,97,0.458,12.7,33.3,33,95,Win
WAS,0.61,12.2,12.8,27,82,0.522,17.4,38.3,24,89,Win
UTA,0.687,14.4,24.2,14,83,0.555,5.7,22,18,91,Win
HOU,0.521,10.2,15.1,27,94,0.546,13.4,43.5,30,97,Loss
POR,0.648,10.4,17.6,16,88,0.458,5.4,20.4,22,96,Win
MEM,0.576,11.7,34.1,31,92,0.369,13.8,25.8,16,99,Win
MIL,0.448,12.1,16.7,19,86,0.535,8.7,13,18,86,Loss
DAL,0.548,14.7,23.1,20,84,0.521,12.1,25.5,17,94,Loss
IND,0.596,12.7,16.7,26,78,0.623,14.1,8.1,19,77,Win
SAS,0.544,10.1,15.8,20,80,0.549,15.9,34.1,18,82,Win
BRK,0.5,14.6,43.1,38,100,0.5,11.7,24.1,23,103,Win
MIN,0.629,13.1,24.4,20,97,0.59,11.8,28.9,27,100,Win
LAC,0.518,8.6,14.6,26,84,0.475,12.3,18.6,26,81,Win
GSW,0.622,10.7,12.8,22,82,0.466,13.2,38.8,26,87,Win
TOR,0.547,12.9,23.7,35,86,0.547,15.8,13.6,25,85,Win
PHI,0.541,13.8,26.7,20,85,0.61,12.2,25,18,86,Loss
WAS,0.613,12.8,5.6,34,80,0.635,13.1,21.6,24,89,Loss
BOS,0.529,10.1,28.3,26,86,0.511,10.9,32.1,20,89,Win
OKC,0.68,14.5,6.9,17,75,0.57,15.5,22.5,15,86,Win
IND,0.469,12.8,13.5,11,97,0.527,13.4,25.6,22,94,Loss
MEM,0.53,9.4,38.3,14,100,0.372,11.8,24.1,17,90,Win
UTA,0.568,10.7,16.2,25,81,0.524,12.3,26.2,18,85,Win
ORL,0.601,11.7,14.3,14,84,0.658,12.3,16.7,15,79,Loss
CHI,0.537,9.2,21.4,11,94,0.611,15.6,24.4,25,81,Loss
NOP,0.513,10.5,25.9,11,114,0.579,13.2,14,24,95,Loss
WAS,0.442,8.2,31,21,103,0.599,13.6,18.9,32,81,Loss
DEN,0.578,11.6,34.2,20,83,0.578,12.7,26.5,28,77,Win
LAC,0.542,12.2,20,39,84,0.397,8.1,23.8,36,97,Win
PHI,0.578,10.4,29.8,17,96,0.601,16.4,11.4,18,79,Win
TOR,0.554,10.1,7.3,31,84,0.48,12.1,28,25,98,Win
ATL,0.605,15.7,17.1,12,86,0.572,14.9,23.1,35,76,Loss
SAS,0.522,5.5,4.4,27,92,0.609,6,20,31,96,Loss
OKC,0.552,3.6,22.2,25,96,0.473,10.6,31.7,22,91,Win
IND,0.56,19,26.3,33,75,0.459,14.1,32.1,15,97,Win
ORL,0.649,9.3,18.8,31,84,0.52,7,20.4,20,98,Win
MIA,0.483,13.1,20.8,31,86,0.495,14.1,30,28,91,Loss
UTA,0.556,17.4,20,12,80,0.426,10.5,28.9,18,94,Win
MEM,0.518,17.5,20.5,13,84,0.568,8.9,25.5,17,95,Loss
POR,0.569,14.1,22,24,87,0.599,10.8,33.3,19,91,Loss
MIL,0.483,16.1,10.6,23,89,0.451,12.9,20,38,91,Loss
HOU,0.559,19.1,35.1,20,76,0.636,17.3,17.1,25,70,Loss
UTA,0.584,9.2,24.3,28,77,0.517,10.3,24.4,22,86,Win
DEN,0.582,16.1,22.5,8,85,0.632,20.5,25,12,76,Loss
ATL,0.405,11.5,24.6,28,95,0.563,13.6,31.9,33,87,Loss
PHI,0.565,10.5,28.2,22,84,0.606,7,18.9,28,80,Loss
SAC,0.606,12.8,26.2,23,85,0.528,9.9,21.7,26,89,Win
CHI,0.489,6.4,10,25,92,0.586,25.4,16.1,41,64,Loss
NOP,0.55,19.4,23.3,31,90,0.436,13.6,17,31,94,Win
LAL,0.506,10.8,20.9,28,87,0.436,12.8,29.4,37,86,Win
OKC,0.506,14.6,10.3,34,79,0.484,11.5,23.9,19,92,Win
MIL,0.605,8.8,15.2,21,95,0.665,12.4,21.6,31,85,Loss
MIA,0.583,20.3,16.7,28,66,0.455,13,8.9,21,78,Win
IND,0.568,9.4,15.4,18,88,0.505,8.9,18,25,91,Win
ORL,0.555,11.8,32.5,31,91,0.494,15.4,23.4,25,88,Win
DET,0.431,10.9,11.6,22,80,0.476,8.8,30.2,25,82,Loss
SAS,0.49,7.3,11.5,36,98,0.527,13.7,26.9,45,94,Loss
TOR,0.591,8.7,4.8,27,82,0.511,9.9,22.7,23,90,Win
CHO,0.563,2.6,16.3,23,104,0.661,12.2,30.8,27,96,Loss
MIL,0.461,14.8,20.8,18,90,0.521,10.8,14,12,94,Loss
TOR,0.512,16.5,33.3,18,83,0.494,11,13.3,14,83,Win
NYK,0.568,16,22.2,31,81,0.568,14.6,24.3,45,74,Loss
BOS,0.511,7.2,25,22,93,0.543,10.9,22.2,11,93,Win
MIN,0.566,16.2,22.2,23,83,0.606,14.9,13.2,26,80,Loss
DAL,0.549,12.6,17.1,11,92,0.601,10.3,14.6,15,89,Loss
ORL,0.543,12.9,27.3,22,92,0.572,17.7,19.4,38,76,Win
CLE,0.538,16.6,22,23,80,0.571,18.8,35,15,84,Loss
PHO,0.466,12.5,19.6,25,87,0.601,10.2,20.9,17,89,Loss
BRK,0.483,9.1,26.9,23,90,0.546,13.2,19.5,12,87,Win
LAC,0.609,9.1,26.2,19,92,0.538,9,10,27,79,Win
DET,0.53,7.8,14,25,84,0.59,11.8,33.3,32,83,Loss
NYK,0.59,9.9,13.6,34,94,0.519,12.6,26.8,26,106,Win
CHO,0.555,13.2,35.7,22,82,0.554,13.9,20.5,6,84,Win
DEN,0.554,14.8,7.1,8,83,0.522,8.9,26,23,92,Loss
UTA,0.488,17.2,28.6,28,84,0.484,16.4,32.6,18,94,Win
LAC,0.541,18.8,10.5,28,74,0.457,14,25.6,37,82,Loss
ORL,0.592,10.8,17.1,28,87,0.555,12.2,21.7,23,91,Win
MEM,0.522,10.2,23.3,50,93,0.61,13.1,23.7,34,91,Loss
PHO,0.594,15.3,12.5,32,80,0.505,15.1,19.5,23,91,Win
BOS,0.467,12.4,25.9,34,91,0.542,13.2,17.1,34,84,Loss
SAC,0.547,12.6,19.5,20,95,0.594,12.8,20.9,27,90,Loss
HOU,0.609,7.1,14.3,39,101,0.576,14.1,26.5,38,105,Win
MIA,0.646,14.5,19.4,37,72,0.483,16,28.9,24,89,Win
UTA,0.437,12.6,25,22,87,0.597,19.3,32.4,24,77,Loss
NOP,0.5,15.6,18.4,28,85,0.569,8.9,17,35,87,Loss
PHI,0.543,16.8,45.5,25,93,0.579,8.7,22.2,23,95,Loss
LAL,0.415,15,15.4,33,82,0.5,12.8,17.9,26,84,Loss
WAS,0.506,10.7,22.2,27,88,0.483,9.4,26.5,37,90,Loss
POR,0.606,11,23.1,16,90,0.662,13.2,18.8,34,77,Loss
SAS,0.488,13.7,25,33,86,0.5,10.8,7.5,18,91,Win
SAC,0.538,12.2,20.9,22,91,0.634,15.6,28.6,35,82,Loss
MIL,0.538,17.7,36.2,23,92,0.511,7.9,11.1,31,91,Loss
DAL,0.441,6.8,18.9,37,93,0.516,9.6,13.3,23,93,Loss
TOR,0.552,20.2,8.3,36,67,0.506,13,18.2,16,87,Win
IND,0.516,9.2,20,16,92,0.495,11.5,20,13,94,Win
DEN,0.523,10.3,20.9,39,87,0.511,13,17.8,31,87,Win
MEM,0.462,11.5,16.3,15,93,0.518,12.4,18.6,39,82,Loss
SAS,0.559,11.7,32.5,29,93,0.609,11.5,20.5,30,87,Loss
LAL,0.555,12.8,10.3,31,82,0.518,18.3,17.1,25,83,Win
BRK,0.519,6,13,16,103,0.574,15.5,16.7,23,88,Win
DAL,0.417,13.2,30.4,50,90,0.49,8.4,15.4,12,104,Win
PHO,0.557,7.3,21.6,14,96,0.541,9.4,19.5,27,85,Win
ORL,0.549,16.3,26.8,23,82,0.625,7,5.9,19,84,Loss
BOS,0.494,14.2,31.8,27,85,0.539,11.3,27.9,39,77,Loss
HOU,0.5,9.3,9.3,24,87,0.474,10,30.6,29,95,Loss
MEM,0.533,12.1,20.5,25,91,0.56,14.7,25.6,33,84,Loss
PHI,0.53,12.9,13.3,29,82,0.465,13.6,20.5,24,85,Win
DEN,0.626,12.3,35.9,21,91,0.554,6.3,23.8,27,93,Win
OKC,0.462,12.1,10,36,79,0.381,9.8,17.2,29,88,Win
TOR,0.564,14.1,7.9,30,78,0.466,11.7,16.3,26,87,Win
BRK,0.516,14,15.9,21,95,0.682,11.9,18.2,35,88,Loss
NOP,0.659,15.6,16.1,23,82,0.624,6.9,34.2,33,93,Loss
MIA,0.548,16.7,13.3,27,83,0.622,12.9,13.2,38,78,Loss
IND,0.494,13.8,10.9,19,85,0.516,13,26.7,20,92,Loss
LAC,0.62,5.7,23.7,15,92,0.546,6.8,18.2,21,87,Win
POR,0.592,8.2,28.3,20,92,0.607,14.9,29.7,17,84,Win
LAL,0.468,20.5,28.6,36,77,0.554,16.8,10,23,84,Loss
UTA,0.505,12.9,20.4,24,91,0.556,11.5,17,26,89,Loss
OKC,0.418,8.8,20.7,15,97,0.62,17.1,33.3,20,83,Loss
SAC,0.494,13.1,26,24,89,0.587,8.4,15.9,28,86,Loss
ORL,0.466,8.3,21.7,25,88,0.452,7.7,28.8,33,93,Loss
WAS,0.478,11.5,22.7,23,90,0.545,15.3,26.8,26,88,Loss
BOS,0.573,12,18.8,16,96,0.483,15,17.3,17,89,Win
LAC,0.582,12.6,22,28,85,0.583,10.1,20,17,90,Win
UTA,0.552,16.1,27.3,22,105,0.514,8.3,25,30,108,Loss
LAL,0.485,12.2,30,19,100,0.613,18.2,19.4,14,84,Loss
PHO,0.543,9.8,26.1,20,92,0.554,11.4,7,22,84,Win
MIL,0.551,10.2,17.3,34,99,0.491,4.5,19.3,25,115,Loss
WAS,0.462,12.9,27.1,22,92,0.619,11.4,20.5,22,84,Loss
MEM,0.484,18.3,22.2,16,91,0.585,22.6,13.5,33,71,Loss
SAS,0.511,14.2,31.9,32,89,0.5,15.2,30.8,22,96,Win
ORL,0.475,10.3,22.6,26,102,0.5,9.6,24.5,24,102,Loss
PHI,0.557,12.6,29.2,17,97,0.533,8.8,17.1,29,91,Loss
HOU,0.571,12.6,18.2,30,91,0.529,14.9,11.1,23,87,Win
BRK,0.671,14.6,21.6,19,85,0.554,8.9,20.8,20,93,Win
OKC,0.461,16.1,16.3,21,90,0.567,15.7,27.3,29,89,Loss
DAL,0.635,8,12.9,16,85,0.604,11.7,26.8,20,82,Win
TOR,0.495,10.7,29.6,26,97,0.476,16,22,35,84,Win
IND,0.452,15.2,11.5,25,84,0.515,10.9,25,19,98,Loss
DEN,0.669,13.8,35.7,23,77,0.63,9.5,35.9,32,81,Loss
BRK,0.5,11.5,17.8,24,89,0.428,15.1,23.5,29,83,Win
HOU,0.483,15.5,7.4,21,89,0.565,17.8,21.4,20,93,Loss
PHO,0.618,6.7,32.4,21,89,0.575,7.5,25,14,93,Win
BOS,0.605,11.1,25,23,86,0.433,7,28,38,89,Win
POR,0.546,6.7,27.3,29,98,0.642,15.1,12.2,33,81,Win
MIL,0.609,12.4,21.4,28,87,0.474,9.2,20,30,95,Win
NOP,0.555,17.4,13.9,19,82,0.551,17.4,32.6,16,88,Loss
IND,0.455,11.3,21.8,22,100,0.465,16.9,12.5,28,86,Win
TOR,0.544,10,22.4,40,90,0.565,14.7,20,33,84,Win
MIA,0.57,11.2,14.3,20,86,0.528,13.7,29.2,27,89,Loss
LAC,0.624,6.9,15.4,23,85,0.569,11.2,20.9,19,87,Win
WAS,0.443,15.4,32.1,24,88,0.443,16,25.5,14,88,Win
SAC,0.679,12.3,22,12,95,0.566,14,30,15,98,Win
DAL,0.483,10.2,22.4,19,89,0.629,4.8,17.9,21,89,Loss
MIL,0.464,12.2,16.4,23,98,0.572,15.2,20,23,90,Loss
SAS,0.557,13.7,22.5,36,79,0.54,7.1,25.5,10,101,Loss
NOP,0.609,11.6,25,27,87,0.661,11,16.2,30,84,Loss
POR,0.543,7.3,29.2,24,104,0.625,11.8,30,19,96,Win
DEN,0.506,13.4,19.1,23,87,0.6,16.5,28.9,14,90,Loss
MIA,0.414,16.1,26.4,27,87,0.567,16.8,26.1,11,89,Loss
OKC,0.425,12.2,18.3,22,106,0.471,16.4,24.5,39,85,Loss
PHI,0.667,14.2,23.5,22,87,0.513,16.3,2.3,16,80,Win
MEM,0.565,15,28.6,22,92,0.542,11.3,19.6,41,84,Loss
UTA,0.557,12.3,32.7,23,97,0.632,9.7,18.2,18,95,Loss
BRK,0.538,12.4,19.1,16,92,0.6,10,20,33,85,Loss
PHI,0.519,16.6,35.7,23,80,0.478,6.5,31.4,26,90,Loss
DAL,0.549,18.7,12.8,24,81,0.542,9.6,23.4,20,95,Loss
ORL,0.584,13.3,10,19,89,0.511,13.5,20,28,90,Win
MIA,0.574,8.9,16.7,25,81,0.539,13.2,19.4,22,76,Win
OKC,0.518,11.2,17.9,25,84,0.596,6.7,9.3,19,89,Loss
POR,0.475,14.6,11.6,33,79,0.376,7.5,27.4,31,97,Win
BRK,0.471,14.9,16.3,27,85,0.489,7.5,17,28,87,Loss
UTA,0.632,6,28.2,17,87,0.537,9.9,34.2,23,81,Win
PHI,0.449,8.6,15.4,37,79,0.622,5.7,23.8,29,86,Loss
DAL,0.574,7.9,17.4,37,88,0.5,12.9,18,39,84,Win
MIA,0.592,15.3,17.1,28,76,0.519,15.1,10.5,20,81,Win
