teamAbbr,teamEFG%,teamTO%,teamOREB%,teamFTA,teamFGA,opptEFG%,opptTO%,opptOREB%,opptFTA,opptFGA,teamRslt
IND,0.591,13.7,21.1,15,88,0.483,10.2,18.2,19,89,Win
NYK,0.363,8.7,23,33,91,0.651,11.5,26.3,32,86,Loss
CHI,0.587,17,8.8,29,75,0.536,16.4,25.6,20,83,Win
DET,0.638,9.2,26.3,11,94,0.467,11.9,25,14,90,Win
ORL,0.594,11.3,19.5,27,90,0.573,9.2,11.1,23,89,Win
DAL,0.54,9.1,20.8,27,88,0.463,9.9,18,15,94,Win
MIA,0.53,9.2,20.4,21,99,0.445,9.3,16.7,36,91,Win
HOU,0.446,11.8,29,36,111,0.533,14.3,22.2,32,106,Loss
LAL,0.506,14.1,33.3,30,84,0.44,10,14.3,17,91,Win
POR,0.467,11.8,24,15,91,0.548,8.7,22.9,25,94,Loss
GSW,0.519,15.9,15.4,15,78,0.58,12.6,26.2,8,87,Loss
MIL,0.567,12.1,24.4,27,90,0.478,9.7,16.7,22,93,Win
PHO,0.574,11.8,19,20,88,0.659,16.8,34.4,20,85,Loss
BRK,0.564,12.1,40.9,18,101,0.583,13.9,20.5,21,90,Win
MIA,0.532,17.6,18.2,17,77,0.544,9.7,23.8,32,79,Loss
MEM,0.422,10.2,21.6,21,96,0.513,17.7,22.2,37,77,Loss
IND,0.534,7.8,27.5,17,87,0.542,11.1,22.2,10,84,Win
MIN,0.511,10.7,31.9,26,89,0.56,7.3,31,23,92,Loss
LAL,0.589,6.5,20,25,90,0.494,16.5,17.4,19,83,Win
SAC,0.521,8.7,26,23,95,0.655,11.4,16.2,21,84,Loss
PHI,0.617,19.3,22.2,24,77,0.517,9.6,26.5,32,90,Loss
DEN,0.684,12,24.3,18,87,0.464,13.1,11.4,23,83,Win
HOU,0.52,17.1,37.7,19,98,0.5,14.7,26.1,24,88,Win
PHO,0.538,13.2,35.8,27,106,0.603,18.3,15.8,35,87,Win
BRK,0.563,14.5,38.5,15,88,0.536,17.4,22.7,17,83,Win
ORL,0.445,15.6,22.2,23,82,0.482,15.5,23.3,10,83,Win
IND,0.512,10.7,11.9,20,83,0.511,14.7,33.3,26,87,Loss
DEN,0.441,10.7,26.7,15,94,0.616,14.9,12.1,8,82,Loss
GSW,0.599,19.1,18.2,22,71,0.54,13.4,23.3,5,88,Win
WAS,0.495,10.2,18.8,14,91,0.547,11.1,26.8,24,86,Loss
MIN,0.589,11,25,20,96,0.585,8.7,25.7,40,88,Loss
LAC,0.394,17,23.1,19,94,0.543,12.7,26.5,21,94,Loss
SAC,0.436,11.3,29.1,18,102,0.484,13.4,26.5,17,96,Loss
LAL,0.641,13.9,9.1,33,85,0.512,13.2,8.7,29,86,Win
NOP,0.376,12.5,14.5,21,89,0.61,10.7,23.5,31,86,Loss
IND,0.553,15,11.9,13,85,0.458,9.5,28.8,21,96,Win
CLE,0.422,14.1,21.2,17,96,0.694,7.4,29.4,23,90,Loss
PHO,0.474,12.2,24.1,28,96,0.511,12.6,20.8,30,91,Loss
MEM,0.593,13.2,13.5,25,81,0.681,20,28.1,18,80,Loss
DEN,0.506,11.2,15.6,14,89,0.5,10.2,25,23,87,Loss
ATL,0.582,11.7,26.2,17,91,0.461,9.7,26,29,90,Win
CHI,0.519,13.2,15.4,27,80,0.487,15,23.3,44,77,Loss
TOR,0.494,15.7,27.7,20,88,0.595,16.9,17.1,21,79,Loss
LAC,0.599,8.5,23.1,27,96,0.534,11.4,18.2,30,88,Win
SAC,0.594,8.2,18.9,11,85,0.576,11.8,26.3,8,86,Win
OKC,0.476,9.1,28.3,34,85,0.405,6.9,30.5,18,100,Win
MIN,0.613,13.6,16.2,26,84,0.66,8.9,28.6,20,94,Loss
LAC,0.464,8.4,20.8,27,97,0.402,10.6,23.7,28,97,Win
CLE,0.434,15.3,34.6,19,91,0.673,18.1,15.6,8,78,Loss
TOR,0.417,12.9,28,26,90,0.461,12.8,18.4,14,89,Win
SAC,0.568,8.4,18.4,22,88,0.589,16.8,28.2,23,84,Win
ORL,0.435,10.4,17,26,92,0.554,12.4,22.2,15,92,Loss
DET,0.488,15.7,22.2,27,85,0.484,10.6,21.7,22,91,Win
MIN,0.506,14.1,26.8,29,85,0.579,8,26.1,19,95,Loss
OKC,0.518,9.7,4.7,19,85,0.449,12.9,13.7,12,89,Win
MEM,0.591,16.7,2.7,17,82,0.435,12.6,19.6,25,93,Win
WAS,0.483,9,26,25,90,0.541,11.8,25.6,28,85,Loss
